Code,Name,Region
AFG,Afghanistan,Southern Asia
BHR,Bahrain,Western Asia
BGD,Bangladesh,Southern Asia
BTN,Bhutan,Southern Asia
BRN,Brunei,South-eastern Asia
KHM,Cambodia,South-eastern Asia
CHN,China,Eastern Asia
CYP,Cyprus,Western Asia
PRK,North Korea,Eastern Asia
IND,India,Southern Asia
IDN,Indonesia,South-eastern Asia
IRN,Iran,Southern Asia
IRQ,Iraq,Western Asia
JPN,Japan,Eastern Asia
JOR,Jordan,Western Asia
KAZ,Kazakhstan,Central Asia
KWT,Kuwait,Western Asia
KGZ,Kyrgyzstan,Central Asia
LAO,Laos,South-eastern Asia
LBN,Lebanon,Western Asia
MYS,Malaysia,South-eastern Asia
MDV,Maldives,Southern Asia
MNG,Mongolia,Eastern Asia
MMR,Myanmar,South-eastern Asia
NPL,Nepal,Southern Asia
OMN,Oman,Western Asia
PAK,Pakistan,Southern Asia
PHL,Philippines,South-eastern Asia
QAT,Qatar,Western Asia
KOR,South Korea,Eastern Asia
SAU,Saudi Arabia,Western Asia
SGP,Singapore,South-eastern Asia
LKA,Sri Lanka,Southern Asia
SYR,Syria,Western Asia
TJK,Tajikistan,Central Asia
THA,Thailand,South-eastern Asia
TLS,Timor-Leste,South-eastern Asia
TUR,Turkey,Western Asia
TKM,Turkmenistan,Central Asia
ARE,United Arab Emirates,Western Asia
UZB,Uzbekistan,Central Asia
VNM,Vietnam,South-eastern Asia
YEM,Yemen,Western Asia
ARM,Armenia,Western Asia
AZE,Azerbaijan,Western Asia
GEO,Georgia,Western Asia
ISR,Israel,Western Asia
