"","iso_code","location","pop2022"
"1","ARM","Armenia",2780.469
"2","AZE","Azerbaijan",10358.074
"3","BHR","Bahrain",1472.233
"4","BGD","Bangladesh",171186.372
"5","BTN","Bhutan",782.455
"6","BRN","Brunei Darussalam",449.002
"7","KHM","Cambodia",16767.842
"8","CHN","China",1425887.337
"9","CYP","Cyprus",1251.488
"10","GEO","Georgia",3744.385
"11","HKG","Hong Kong, China",7488.865
"12","IND","India",1417173.173
"13","IDN","Indonesia",275501.339
"14","IRN","Iran, Islamic Republic of",88550.57
"15","JPN","Japan",123951.692
"16","JOR","Jordan",11285.868
"17","KAZ","Kazakhstan",19397.998
"18","KOR","Korea, Republic of",51815.81
"19","KWT","Kuwait",4268.873
"20","KGZ","Kyrgyzstan",6630.623
"21","LAO","Lao People's Democratic Republic",7529.475
"22","LBN","Lebanon",5489.74
"23","MYS","Malaysia",33938.222
"24","MDV","Maldives",523.787
"25","MNG","Mongolia",3398.366
"26","MMR","Myanmar",54179.306
"27","NPL","Nepal",30547.58
"28","OMN","Oman",4576.298
"29","PHL","Philippines",115559.009
"30","QAT","Qatar",2695.122
"31","SAU","Saudi Arabia",36408.82
"32","SGP","Singapore",5975.688
"33","LKA","Sri Lanka",21832.143
"34","SYR","Syrian Arab Republic",22125.249
"35","TWN","Taiwan, Province of China",23893.394
"36","TJK","Tajikistan",9952.787
"37","THA","Thailand",71697.03
"38","TLS","Timor-Leste",1341.296
"39","TUR","Turkey",85341.241
"40","ARE","United Arab Emirates",9441.128
"41","UZB","Uzbekistan",34627.652
"42","VNM","Viet Nam",98186.856
