"import","cohort","count","export_cntry","import_cntry","time","sim_index","export","ex_im","gen_index","seq_index","freq"
"Azerbaijan","582_9_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Azerbaijan","355_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Bangladesh","250_9_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Bangladesh","294_13_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Bangladesh","214_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Bangladesh","59_5_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Bangladesh","568_11_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Bhutan","235_2_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Brunei Darussalam","104_16_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Brunei Darussalam","126_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Brunei Darussalam","231_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Brunei Darussalam","388_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","230_4_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","258_15_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","104_3_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","105_13_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","234_15_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","388_7_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","236_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","126_7_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","127_11_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","494_9_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","294_10_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","128_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","416_11_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","249_13_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","14_17_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","264_1_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","420_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","625_3_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","421_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","554_13_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","16_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","161_7_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","162_7_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","424_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","295_8_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","165_9_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","528_13_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","309_5_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","318_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","428_8_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","338_8_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","214_15_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","495_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","349_7_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","422_11_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","231_10_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","250_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","503_5_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","232_15_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","233_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","235_16_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","555_10_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","496_9_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","425_13_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","423_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
