count,export_cntry,import_cntry,time,sim_index,export,import,ex_im,gen_index,seq_index
1,15,18,113,1,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,1
1,18,8,122,1,"Korea, Republic of",China,"Korea, Republic of: China",2,1
1,18,15,154,1,"Korea, Republic of",Japan,"Korea, Republic of: Japan",2,1
1,18,42,157,1,"Korea, Republic of",Viet Nam,"Korea, Republic of: Viet Nam",2,1
1,18,12,166,1,"Korea, Republic of",India,"Korea, Republic of: India",2,1
1,18,37,193,1,"Korea, Republic of",Thailand,"Korea, Republic of: Thailand",2,1
1,18,7,207,1,"Korea, Republic of",Cambodia,"Korea, Republic of: Cambodia",2,1
1,18,35,217,1,"Korea, Republic of","Taiwan, Province of China","Korea, Republic of: Taiwan, Province of China",2,1
1,18,23,235,1,"Korea, Republic of",Malaysia,"Korea, Republic of: Malaysia",2,1
1,18,21,238,1,"Korea, Republic of",Lao People's Democratic Republic,"Korea, Republic of: Lao People's Democratic Republic",2,1
1,18,39,250,1,"Korea, Republic of",Turkey,"Korea, Republic of: Turkey",2,1
1,18,29,296,1,"Korea, Republic of",Philippines,"Korea, Republic of: Philippines",2,1
1,15,37,72,2,Japan,Thailand,Japan: Thailand,1,1
1,15,13,88,2,Japan,Indonesia,Japan: Indonesia,1,2
1,15,8,102,2,Japan,China,Japan: China,1,3
1,15,18,113,2,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,4
1,15,18,124,3,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,1
1,18,15,148,3,"Korea, Republic of",Japan,"Korea, Republic of: Japan",2,1
1,18,42,168,3,"Korea, Republic of",Viet Nam,"Korea, Republic of: Viet Nam",2,1
1,18,8,184,3,"Korea, Republic of",China,"Korea, Republic of: China",2,1
1,18,7,185,3,"Korea, Republic of",Cambodia,"Korea, Republic of: Cambodia",2,1
1,18,35,202,3,"Korea, Republic of","Taiwan, Province of China","Korea, Republic of: Taiwan, Province of China",2,1
1,18,37,220,3,"Korea, Republic of",Thailand,"Korea, Republic of: Thailand",2,1
1,18,29,237,3,"Korea, Republic of",Philippines,"Korea, Republic of: Philippines",2,1
1,18,39,284,3,"Korea, Republic of",Turkey,"Korea, Republic of: Turkey",2,1
1,18,11,285,3,"Korea, Republic of","Hong Kong, China","Korea, Republic of: Hong Kong, China",2,1
1,18,13,329,3,"Korea, Republic of",Indonesia,"Korea, Republic of: Indonesia",2,1
1,18,32,335,3,"Korea, Republic of",Singapore,"Korea, Republic of: Singapore",2,1
1,18,23,341,3,"Korea, Republic of",Malaysia,"Korea, Republic of: Malaysia",2,1
1,37,21,387,3,Thailand,Lao People's Democratic Republic,Thailand: Lao People's Democratic Republic,3,1
1,37,12,429,3,Thailand,India,Thailand: India,3,1
1,37,26,431,3,Thailand,Myanmar,Thailand: Myanmar,3,1
1,23,6,495,3,Malaysia,Brunei Darussalam,Malaysia: Brunei Darussalam,3,1
1,12,14,532,3,India,"Iran, Islamic Republic of","India: Iran, Islamic Republic of",4,1
1,8,16,620,3,China,Jordan,China: Jordan,3,1
1,8,1,628,3,China,Armenia,China: Armenia,3,1
1,8,40,635,3,China,United Arab Emirates,China: United Arab Emirates,3,1
1,12,4,662,3,India,Bangladesh,India: Bangladesh,4,1
1,8,25,753,3,China,Mongolia,China: Mongolia,3,1
1,40,31,775,3,United Arab Emirates,Saudi Arabia,United Arab Emirates: Saudi Arabia,4,1
1,31,19,807,3,Saudi Arabia,Kuwait,Saudi Arabia: Kuwait,5,1
1,31,3,841,3,Saudi Arabia,Bahrain,Saudi Arabia: Bahrain,5,1
1,12,27,989,3,India,Nepal,India: Nepal,4,1
1,15,8,95,4,Japan,China,Japan: China,1,1
1,15,18,109,4,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,2
1,18,26,118,4,"Korea, Republic of",Myanmar,"Korea, Republic of: Myanmar",2,2
1,15,35,122,4,Japan,"Taiwan, Province of China","Japan: Taiwan, Province of China",1,3
1,18,37,172,4,"Korea, Republic of",Thailand,"Korea, Republic of: Thailand",2,2
1,18,13,211,4,"Korea, Republic of",Indonesia,"Korea, Republic of: Indonesia",2,2
1,18,29,285,4,"Korea, Republic of",Philippines,"Korea, Republic of: Philippines",2,2
1,18,15,303,4,"Korea, Republic of",Japan,"Korea, Republic of: Japan",2,2
1,15,35,43,5,Japan,"Taiwan, Province of China","Japan: Taiwan, Province of China",1,1
1,15,18,84,5,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,2
1,15,18,42,6,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,1
1,15,35,122,6,Japan,"Taiwan, Province of China","Japan: Taiwan, Province of China",1,2
1,15,18,81,7,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,1
1,15,8,118,7,Japan,China,Japan: China,1,2
1,15,18,97,8,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,1
1,18,8,101,8,"Korea, Republic of",China,"Korea, Republic of: China",2,1
1,15,35,116,8,Japan,"Taiwan, Province of China","Japan: Taiwan, Province of China",1,2
1,18,37,125,8,"Korea, Republic of",Thailand,"Korea, Republic of: Thailand",2,1
1,15,18,73,9,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,1
1,18,29,81,9,"Korea, Republic of",Philippines,"Korea, Republic of: Philippines",2,1
