count,export_cntry,import_cntry,time,sim_index,export,import,ex_im,gen_index,seq_index
1,15,18,69,1,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,1
1,18,29,86,1,"Korea, Republic of",Philippines,"Korea, Republic of: Philippines",2,1
1,18,15,87,1,"Korea, Republic of",Japan,"Korea, Republic of: Japan",2,1
1,18,8,107,1,"Korea, Republic of",China,"Korea, Republic of: China",2,1
1,18,42,115,1,"Korea, Republic of",Viet Nam,"Korea, Republic of: Viet Nam",2,1
1,18,34,117,1,"Korea, Republic of",Syrian Arab Republic,"Korea, Republic of: Syrian Arab Republic",2,1
1,18,32,128,1,"Korea, Republic of",Singapore,"Korea, Republic of: Singapore",2,1
1,34,14,135,1,Syrian Arab Republic,"Iran, Islamic Republic of","Syrian Arab Republic: Iran, Islamic Republic of",3,1
1,18,11,138,1,"Korea, Republic of","Hong Kong, China","Korea, Republic of: Hong Kong, China",2,1
1,18,37,142,1,"Korea, Republic of",Thailand,"Korea, Republic of: Thailand",2,1
1,11,35,170,1,"Hong Kong, China","Taiwan, Province of China","Hong Kong, China: Taiwan, Province of China",3,1
1,34,16,173,1,Syrian Arab Republic,Jordan,Syrian Arab Republic: Jordan,3,1
1,11,13,187,1,"Hong Kong, China",Indonesia,"Hong Kong, China: Indonesia",3,1
1,11,17,211,1,"Hong Kong, China",Kazakhstan,"Hong Kong, China: Kazakhstan",3,1
1,8,26,224,1,China,Myanmar,China: Myanmar,3,1
1,15,8,229,1,Japan,China,Japan: China,1,2
1,18,23,242,1,"Korea, Republic of",Malaysia,"Korea, Republic of: Malaysia",2,1
1,8,21,252,1,China,Lao People's Democratic Republic,China: Lao People's Democratic Republic,3,1
1,15,7,258,1,Japan,Cambodia,Japan: Cambodia,1,3
1,15,32,262,1,Japan,Singapore,Japan: Singapore,1,4
1,34,22,264,1,Syrian Arab Republic,Lebanon,Syrian Arab Republic: Lebanon,3,1
1,8,25,267,1,China,Mongolia,China: Mongolia,3,1
1,15,37,274,1,Japan,Thailand,Japan: Thailand,1,5
1,15,29,285,1,Japan,Philippines,Japan: Philippines,1,6
1,15,35,294,1,Japan,"Taiwan, Province of China","Japan: Taiwan, Province of China",1,7
1,15,28,302,1,Japan,Oman,Japan: Oman,1,8
1,15,11,311,1,Japan,"Hong Kong, China","Japan: Hong Kong, China",1,9
1,8,12,315,1,China,India,China: India,3,1
1,8,39,317,1,China,Turkey,China: Turkey,3,1
1,15,13,323,1,Japan,Indonesia,Japan: Indonesia,1,10
1,8,24,343,1,China,Maldives,China: Maldives,3,1
1,15,40,343,1,Japan,United Arab Emirates,Japan: United Arab Emirates,1,11
1,15,42,359,1,Japan,Viet Nam,Japan: Viet Nam,1,12
1,15,10,383,1,Japan,Georgia,Japan: Georgia,1,13
1,15,18,9,2,Japan,"Korea, Republic of","Japan: Korea, Republic of",1,1
1,18,42,12,2,"Korea, Republic of",Viet Nam,"Korea, Republic of: Viet Nam",2,1
1,15,23,84,2,Japan,Malaysia,Japan: Malaysia,1,2
