Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.030364372469635626
2,AZE,Azerbaijan,10358.074,103581,0.04048582995951417
3,BHR,Bahrain,1472.233,14722,0.04251012145748988
4,BGD,Bangladesh,171186.372,1711864,0.07489878542510121
5,BTN,Bhutan,782.455,7825,0.020242914979757085
6,BRN,Brunei Darussalam,449.002,4490,0.08299595141700405
7,KHM,Cambodia,16767.842,167678,0.1417004048582996
8,CHN,China,1.425887337e6,14258873,0.5242914979757085
9,CYP,Cyprus,1251.488,12515,0.010121457489878543
10,GEO,Georgia,3744.385,37444,0.05668016194331984
11,HKG,"Hong Kong, China",7488.865,74889,0.2874493927125506
12,IND,India,1.417173173e6,14171732,0.1396761133603239
13,IDN,Indonesia,275501.339,2755013,0.17408906882591094
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.0728744939271255
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.06477732793522267
17,KAZ,Kazakhstan,19397.998,193980,0.06882591093117409
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.07489878542510121
20,KGZ,Kyrgyzstan,6630.623,66306,0.032388663967611336
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.13562753036437247
22,LBN,Lebanon,5489.74,54897,0.04251012145748988
23,MYS,Malaysia,33938.222,339382,0.20242914979757085
24,MDV,Maldives,523.787,5238,0.0708502024291498
25,MNG,Mongolia,3398.366,33984,0.12550607287449392
26,MMR,Myanmar,54179.306,541793,0.12955465587044535
27,NPL,Nepal,30547.58,305476,0.09716599190283401
28,OMN,Oman,4576.298,45763,0.06477732793522267
29,PHL,Philippines,115559.009,1155590,0.23481781376518218
30,QAT,Qatar,2695.122,26951,0.03643724696356275
31,SAU,Saudi Arabia,36408.82,364088,0.0951417004048583
32,SGP,Singapore,5975.688,59757,0.20242914979757085
33,LKA,Sri Lanka,21832.143,218321,0.08704453441295547
34,SYR,Syrian Arab Republic,22125.249,221252,0.020242914979757085
35,TWN,"Taiwan, Province of China",23893.394,238934,0.3805668016194332
36,TJK,Tajikistan,9952.787,99528,0.018218623481781375
37,THA,Thailand,71697.03,716970,0.33805668016194335
38,TLS,Timor-Leste,1341.296,13413,0.05060728744939271
39,TUR,Turkey,85341.241,853412,0.12955465587044535
40,ARE,United Arab Emirates,9441.128,94411,0.11336032388663968
41,UZB,Uzbekistan,34627.652,346277,0.05668016194331984
42,VNM,Viet Nam,98186.856,981869,0.2732793522267207
