Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.14
2,AZE,Azerbaijan,10358.074,103581,0.2
3,BHR,Bahrain,1472.233,14722,0.18
4,BGD,Bangladesh,171186.372,1711864,0.22
5,BTN,Bhutan,782.455,7825,0.18
6,BRN,Brunei Darussalam,449.002,4490,0.2
7,KHM,Cambodia,16767.842,167678,0.24
8,CHN,China,1.425887337e6,14258873,0.62
9,CYP,Cyprus,1251.488,12515,0.1
10,GEO,Georgia,3744.385,37444,0.2
11,HKG,"Hong Kong, China",7488.865,74889,0.42
12,IND,India,1.417173173e6,14171732,0.24
13,IDN,Indonesia,275501.339,2755013,0.26
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.22
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.18
17,KAZ,Kazakhstan,19397.998,193980,0.18
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.2
20,KGZ,Kyrgyzstan,6630.623,66306,0.18
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.26
22,LBN,Lebanon,5489.74,54897,0.18
23,MYS,Malaysia,33938.222,339382,0.28
24,MDV,Maldives,523.787,5238,0.2
25,MNG,Mongolia,3398.366,33984,0.24
26,MMR,Myanmar,54179.306,541793,0.24
27,NPL,Nepal,30547.58,305476,0.22
28,OMN,Oman,4576.298,45763,0.18
29,PHL,Philippines,115559.009,1155590,0.36
30,QAT,Qatar,2695.122,26951,0.2
31,SAU,Saudi Arabia,36408.82,364088,0.22
32,SGP,Singapore,5975.688,59757,0.3
33,LKA,Sri Lanka,21832.143,218321,0.2
34,SYR,Syrian Arab Republic,22125.249,221252,0.18
35,TWN,"Taiwan, Province of China",23893.394,238934,0.44
36,TJK,Tajikistan,9952.787,99528,0.16
37,THA,Thailand,71697.03,716970,0.34
38,TLS,Timor-Leste,1341.296,13413,0.2
39,TUR,Turkey,85341.241,853412,0.24
40,ARE,United Arab Emirates,9441.128,94411,0.26
41,UZB,Uzbekistan,34627.652,346277,0.22
42,VNM,Viet Nam,98186.856,981869,0.32
