Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.03678929765886288
2,AZE,Azerbaijan,10358.074,103581,0.048494983277591976
3,BHR,Bahrain,1472.233,14722,0.056856187290969896
4,BGD,Bangladesh,171186.372,1711864,0.10702341137123746
5,BTN,Bhutan,782.455,7825,0.03511705685618729
6,BRN,Brunei Darussalam,449.002,4490,0.08862876254180602
7,KHM,Cambodia,16767.842,167678,0.1588628762541806
8,CHN,China,1.425887337e6,14258873,0.5484949832775919
9,CYP,Cyprus,1251.488,12515,0.01839464882943144
10,GEO,Georgia,3744.385,37444,0.06688963210702341
11,HKG,"Hong Kong, China",7488.865,74889,0.3010033444816054
12,IND,India,1.417173173e6,14171732,0.16387959866220736
13,IDN,Indonesia,275501.339,2755013,0.2157190635451505
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.06521739130434782
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.07023411371237458
17,KAZ,Kazakhstan,19397.998,193980,0.09866220735785954
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.09364548494983277
20,KGZ,Kyrgyzstan,6630.623,66306,0.05016722408026756
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.13712374581939799
22,LBN,Lebanon,5489.74,54897,0.043478260869565216
23,MYS,Malaysia,33938.222,339382,0.23411371237458195
24,MDV,Maldives,523.787,5238,0.07859531772575251
25,MNG,Mongolia,3398.366,33984,0.13879598662207357
26,MMR,Myanmar,54179.306,541793,0.1505016722408027
27,NPL,Nepal,30547.58,305476,0.09197324414715718
28,OMN,Oman,4576.298,45763,0.08193979933110368
29,PHL,Philippines,115559.009,1155590,0.25418060200668896
30,QAT,Qatar,2695.122,26951,0.07023411371237458
31,SAU,Saudi Arabia,36408.82,364088,0.12374581939799331
32,SGP,Singapore,5975.688,59757,0.24247491638795987
33,LKA,Sri Lanka,21832.143,218321,0.09698996655518395
34,SYR,Syrian Arab Republic,22125.249,221252,0.04180602006688963
35,TWN,"Taiwan, Province of China",23893.394,238934,0.3745819397993311
36,TJK,Tajikistan,9952.787,99528,0.021739130434782608
37,THA,Thailand,71697.03,716970,0.38127090301003347
38,TLS,Timor-Leste,1341.296,13413,0.07357859531772576
39,TUR,Turkey,85341.241,853412,0.1688963210702341
40,ARE,United Arab Emirates,9441.128,94411,0.15217391304347827
41,UZB,Uzbekistan,34627.652,346277,0.0802675585284281
42,VNM,Viet Nam,98186.856,981869,0.3411371237458194
