Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.0692167577413479
2,AZE,Azerbaijan,10358.074,103581,0.08378870673952642
3,BHR,Bahrain,1472.233,14722,0.08378870673952642
4,BGD,Bangladesh,171186.372,1711864,0.10200364298724955
5,BTN,Bhutan,782.455,7825,0.07468123861566485
6,BRN,Brunei Darussalam,449.002,4490,0.1092896174863388
7,KHM,Cambodia,16767.842,167678,0.12750455373406194
8,CHN,China,1.425887337e6,14258873,0.5009107468123861
9,CYP,Cyprus,1251.488,12515,0.058287795992714025
10,GEO,Georgia,3744.385,37444,0.08378870673952642
11,HKG,"Hong Kong, China",7488.865,74889,0.24408014571949
12,IND,India,1.417173173e6,14171732,0.14207650273224043
13,IDN,Indonesia,275501.339,2755013,0.1657559198542805
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.09289617486338798
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.09107468123861566
17,KAZ,Kazakhstan,19397.998,193980,0.10018214936247723
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.09836065573770492
20,KGZ,Kyrgyzstan,6630.623,66306,0.09289617486338798
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.122040072859745
22,LBN,Lebanon,5489.74,54897,0.07832422586520947
23,MYS,Malaysia,33938.222,339382,0.18761384335154827
24,MDV,Maldives,523.787,5238,0.10200364298724955
25,MNG,Mongolia,3398.366,33984,0.11657559198542805
26,MMR,Myanmar,54179.306,541793,0.12386156648451731
27,NPL,Nepal,30547.58,305476,0.10382513661202186
28,OMN,Oman,4576.298,45763,0.09289617486338798
29,PHL,Philippines,115559.009,1155590,0.21129326047358835
30,QAT,Qatar,2695.122,26951,0.08378870673952642
31,SAU,Saudi Arabia,36408.82,364088,0.11293260473588343
32,SGP,Singapore,5975.688,59757,0.1930783242258652
33,LKA,Sri Lanka,21832.143,218321,0.10746812386156648
34,SYR,Syrian Arab Republic,22125.249,221252,0.08378870673952642
35,TWN,"Taiwan, Province of China",23893.394,238934,0.3442622950819672
36,TJK,Tajikistan,9952.787,99528,0.07103825136612021
37,THA,Thailand,71697.03,716970,0.273224043715847
38,TLS,Timor-Leste,1341.296,13413,0.08743169398907104
39,TUR,Turkey,85341.241,853412,0.1366120218579235
40,ARE,United Arab Emirates,9441.128,94411,0.12568306010928962
41,UZB,Uzbekistan,34627.652,346277,0.10382513661202186
42,VNM,Viet Nam,98186.856,981869,0.2550091074681239
