Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.5804776739356179
2,AZE,Azerbaijan,10358.074,103581,0.6931464174454829
3,BHR,Bahrain,1472.233,14722,0.6832814122533749
4,BGD,Bangladesh,171186.372,1711864,0.7699896157840083
5,BTN,Bhutan,782.455,7825,0.5311526479750779
6,BRN,Brunei Darussalam,449.002,4490,0.7622014537902388
7,KHM,Cambodia,16767.842,167678,0.8084112149532711
8,CHN,China,1.425887337e6,14258873,0.9096573208722741
9,CYP,Cyprus,1251.488,12515,0.32502596053997923
10,GEO,Georgia,3744.385,37444,0.6936656282450675
11,HKG,"Hong Kong, China",7488.865,74889,0.8572170301142263
12,IND,India,1.417173173e6,14171732,0.8125649013499481
13,IDN,Indonesia,275501.339,2755013,0.8276220145379024
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.7274143302180686
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.7222222222222222
17,KAZ,Kazakhstan,19397.998,193980,0.7357217030114226
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.7544132917964693
20,KGZ,Kyrgyzstan,6630.623,66306,0.5913811007268951
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.7985462097611631
22,LBN,Lebanon,5489.74,54897,0.6687435098650052
23,MYS,Malaysia,33938.222,339382,0.8343717549325026
24,MDV,Maldives,523.787,5238,0.7222222222222222
25,MNG,Mongolia,3398.366,33984,0.7917964693665628
26,MMR,Myanmar,54179.306,541793,0.8026998961578401
27,NPL,Nepal,30547.58,305476,0.7653167185877466
28,OMN,Oman,4576.298,45763,0.7409138110072689
29,PHL,Philippines,115559.009,1155590,0.847871235721703
30,QAT,Qatar,2695.122,26951,0.6863966770508827
31,SAU,Saudi Arabia,36408.82,364088,0.7762201453790238
32,SGP,Singapore,5975.688,59757,0.839563862928349
33,LKA,Sri Lanka,21832.143,218321,0.7559709241952233
34,SYR,Syrian Arab Republic,22125.249,221252,0.6386292834890965
35,TWN,"Taiwan, Province of China",23893.394,238934,0.877466251298027
36,TJK,Tajikistan,9952.787,99528,0.48805815160955346
37,THA,Thailand,71697.03,716970,0.8603322949117341
38,TLS,Timor-Leste,1341.296,13413,0.7165109034267912
39,TUR,Turkey,85341.241,853412,0.8125649013499481
40,ARE,United Arab Emirates,9441.128,94411,0.7964693665628245
41,UZB,Uzbekistan,34627.652,346277,0.6915887850467289
42,VNM,Viet Nam,98186.856,981869,0.8535825545171339
