Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.0690846286701209
2,AZE,Azerbaijan,10358.074,103581,0.11226252158894647
3,BHR,Bahrain,1472.233,14722,0.1001727115716753
4,BGD,Bangladesh,171186.372,1711864,0.13126079447322972
5,BTN,Bhutan,782.455,7825,0.07944732297063903
6,BRN,Brunei Darussalam,449.002,4490,0.13126079447322972
7,KHM,Cambodia,16767.842,167678,0.20725388601036268
8,CHN,China,1.425887337e6,14258873,0.5682210708117443
9,CYP,Cyprus,1251.488,12515,0.04835924006908463
10,GEO,Georgia,3744.385,37444,0.11744386873920552
11,HKG,"Hong Kong, China",7488.865,74889,0.31951640759930916
12,IND,India,1.417173173e6,14171732,0.18998272884283246
13,IDN,Indonesia,275501.339,2755013,0.24006908462867013
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.1226252158894646
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.11053540587219343
17,KAZ,Kazakhstan,19397.998,193980,0.14853195164075994
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.12953367875647667
20,KGZ,Kyrgyzstan,6630.623,66306,0.07944732297063903
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.17962003454231434
22,LBN,Lebanon,5489.74,54897,0.09499136442141623
23,MYS,Malaysia,33938.222,339382,0.24870466321243523
24,MDV,Maldives,523.787,5238,0.12953367875647667
25,MNG,Mongolia,3398.366,33984,0.16753022452504318
26,MMR,Myanmar,54179.306,541793,0.18134715025906736
27,NPL,Nepal,30547.58,305476,0.13989637305699482
28,OMN,Oman,4576.298,45763,0.12953367875647667
29,PHL,Philippines,115559.009,1155590,0.29360967184801384
30,QAT,Qatar,2695.122,26951,0.1157167530224525
31,SAU,Saudi Arabia,36408.82,364088,0.153713298791019
32,SGP,Singapore,5975.688,59757,0.2556131260794473
33,LKA,Sri Lanka,21832.143,218321,0.1381692573402418
34,SYR,Syrian Arab Republic,22125.249,221252,0.08808290155440414
35,TWN,"Taiwan, Province of China",23893.394,238934,0.4075993091537133
36,TJK,Tajikistan,9952.787,99528,0.0690846286701209
37,THA,Thailand,71697.03,716970,0.39378238341968913
38,TLS,Timor-Leste,1341.296,13413,0.11744386873920552
39,TUR,Turkey,85341.241,853412,0.18998272884283246
40,ARE,United Arab Emirates,9441.128,94411,0.17616580310880828
41,UZB,Uzbekistan,34627.652,346277,0.1070811744386874
42,VNM,Viet Nam,98186.856,981869,0.35578583765112265
