Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.0498960498960499
2,AZE,Azerbaijan,10358.074,103581,0.06444906444906445
3,BHR,Bahrain,1472.233,14722,0.060291060291060294
4,BGD,Bangladesh,171186.372,1711864,0.0990990990990991
5,BTN,Bhutan,782.455,7825,0.03395703395703396
6,BRN,Brunei Darussalam,449.002,4490,0.09147609147609148
7,KHM,Cambodia,16767.842,167678,0.15523215523215522
8,CHN,China,1.425887337e6,14258873,0.43104643104643103
9,CYP,Cyprus,1251.488,12515,0.02356202356202356
10,GEO,Georgia,3744.385,37444,0.07623007623007623
11,HKG,"Hong Kong, China",7488.865,74889,0.20097020097020096
12,IND,India,1.417173173e6,14171732,0.1392931392931393
13,IDN,Indonesia,275501.339,2755013,0.1884961884961885
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.07068607068607069
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.06583506583506583
17,KAZ,Kazakhstan,19397.998,193980,0.10464310464310464
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.07969507969507969
20,KGZ,Kyrgyzstan,6630.623,66306,0.05197505197505198
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.167013167013167
22,LBN,Lebanon,5489.74,54897,0.05474705474705475
23,MYS,Malaysia,33938.222,339382,0.18433818433818433
24,MDV,Maldives,523.787,5238,0.0893970893970894
25,MNG,Mongolia,3398.366,33984,0.13444213444213443
26,MMR,Myanmar,54179.306,541793,0.11434511434511435
27,NPL,Nepal,30547.58,305476,0.08108108108108109
28,OMN,Oman,4576.298,45763,0.07276507276507277
29,PHL,Philippines,115559.009,1155590,0.340956340956341
30,QAT,Qatar,2695.122,26951,0.05405405405405406
31,SAU,Saudi Arabia,36408.82,364088,0.10117810117810118
32,SGP,Singapore,5975.688,59757,0.22245322245322247
33,LKA,Sri Lanka,21832.143,218321,0.10672210672210672
34,SYR,Syrian Arab Republic,22125.249,221252,0.040887040887040885
35,TWN,"Taiwan, Province of China",23893.394,238934,0.367983367983368
36,TJK,Tajikistan,9952.787,99528,0.038115038115038115
37,THA,Thailand,71697.03,716970,0.25017325017325015
38,TLS,Timor-Leste,1341.296,13413,0.05682605682605683
39,TUR,Turkey,85341.241,853412,0.16077616077616078
40,ARE,United Arab Emirates,9441.128,94411,0.11088011088011088
41,UZB,Uzbekistan,34627.652,346277,0.10395010395010396
42,VNM,Viet Nam,98186.856,981869,0.2993762993762994
