Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.014462809917355372
2,AZE,Azerbaijan,10358.074,103581,0.030991735537190084
3,BHR,Bahrain,1472.233,14722,0.02066115702479339
4,BGD,Bangladesh,171186.372,1711864,0.05371900826446281
5,BTN,Bhutan,782.455,7825,0.02066115702479339
6,BRN,Brunei Darussalam,449.002,4490,0.049586776859504134
7,KHM,Cambodia,16767.842,167678,0.1012396694214876
8,CHN,China,1.425887337e6,14258873,0.5144628099173554
9,CYP,Cyprus,1251.488,12515,0.008264462809917356
10,GEO,Georgia,3744.385,37444,0.03305785123966942
11,HKG,"Hong Kong, China",7488.865,74889,0.23140495867768596
12,IND,India,1.417173173e6,14171732,0.09504132231404959
13,IDN,Indonesia,275501.339,2755013,0.15495867768595042
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.04132231404958678
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.03512396694214876
17,KAZ,Kazakhstan,19397.998,193980,0.05371900826446281
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.049586776859504134
20,KGZ,Kyrgyzstan,6630.623,66306,0.024793388429752067
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.08677685950413223
22,LBN,Lebanon,5489.74,54897,0.024793388429752067
23,MYS,Malaysia,33938.222,339382,0.15082644628099173
24,MDV,Maldives,523.787,5238,0.05371900826446281
25,MNG,Mongolia,3398.366,33984,0.08471074380165289
26,MMR,Myanmar,54179.306,541793,0.09710743801652892
27,NPL,Nepal,30547.58,305476,0.06198347107438017
28,OMN,Oman,4576.298,45763,0.05165289256198347
29,PHL,Philippines,115559.009,1155590,0.2128099173553719
30,QAT,Qatar,2695.122,26951,0.02066115702479339
31,SAU,Saudi Arabia,36408.82,364088,0.05991735537190083
32,SGP,Singapore,5975.688,59757,0.1590909090909091
33,LKA,Sri Lanka,21832.143,218321,0.05371900826446281
34,SYR,Syrian Arab Republic,22125.249,221252,0.022727272727272728
35,TWN,"Taiwan, Province of China",23893.394,238934,0.3181818181818182
36,TJK,Tajikistan,9952.787,99528,0.01859504132231405
37,THA,Thailand,71697.03,716970,0.27892561983471076
38,TLS,Timor-Leste,1341.296,13413,0.03512396694214876
39,TUR,Turkey,85341.241,853412,0.10743801652892562
40,ARE,United Arab Emirates,9441.128,94411,0.08677685950413223
41,UZB,Uzbekistan,34627.652,346277,0.05371900826446281
42,VNM,Viet Nam,98186.856,981869,0.2809917355371901
