Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.14646608004541584
2,AZE,Azerbaijan,10358.074,103581,0.18407607152994607
3,BHR,Bahrain,1472.233,14722,0.1768379222253761
4,BGD,Bangladesh,171186.372,1711864,0.22565994890718138
5,BTN,Bhutan,782.455,7825,0.13397672438262845
6,BRN,Brunei Darussalam,449.002,4490,0.22338915696849276
7,KHM,Cambodia,16767.842,167678,0.2886744252057905
8,CHN,China,1.425887337e6,14258873,0.6244677831393699
9,CYP,Cyprus,1251.488,12515,0.08189043428895827
10,GEO,Georgia,3744.385,37444,0.18946920238433154
11,HKG,"Hong Kong, China",7488.865,74889,0.41186488787964803
12,IND,India,1.417173173e6,14171732,0.29349985807550383
13,IDN,Indonesia,275501.339,2755013,0.3284132841328413
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.2036616520011354
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.2018166335509509
17,KAZ,Kazakhstan,19397.998,193980,0.22211183650298041
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.21856372409877944
20,KGZ,Kyrgyzstan,6630.623,66306,0.16236162361623616
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.2770366165200114
22,LBN,Lebanon,5489.74,54897,0.17485097927902357
23,MYS,Malaysia,33938.222,339382,0.34572807266534206
24,MDV,Maldives,523.787,5238,0.21260289525972184
25,MNG,Mongolia,3398.366,33984,0.2690888447346012
26,MMR,Myanmar,54179.306,541793,0.2767527675276753
27,NPL,Nepal,30547.58,305476,0.22821458983820608
28,OMN,Oman,4576.298,45763,0.21033210332103322
29,PHL,Philippines,115559.009,1155590,0.3881634970195856
30,QAT,Qatar,2695.122,26951,0.18464376951461822
31,SAU,Saudi Arabia,36408.82,364088,0.2408458699971615
32,SGP,Singapore,5975.688,59757,0.3467215441385183
33,LKA,Sri Lanka,21832.143,218321,0.22509225092250923
34,SYR,Syrian Arab Republic,22125.249,221252,0.1592392847005393
35,TWN,"Taiwan, Province of China",23893.394,238934,0.48665909736020435
36,TJK,Tajikistan,9952.787,99528,0.12191314220834516
37,THA,Thailand,71697.03,716970,0.4534487652568833
38,TLS,Timor-Leste,1341.296,13413,0.19642350269656542
39,TUR,Turkey,85341.241,853412,0.29420948055634405
40,ARE,United Arab Emirates,9441.128,94411,0.26525688333806413
41,UZB,Uzbekistan,34627.652,346277,0.20820323587851264
42,VNM,Viet Nam,98186.856,981869,0.4215157536190747
